username,Method,CLD,kendall_tau,mean_absolute_error,mean_squared_error,pearsonr,r2,spearmanr,description,github_url,report_url,subchallenge
prairiewarbler10,competition-prediction-TVwnsb7kFbz72tSvqFjlV,a,0.561 ± 0.020,0.224 ± 0.009,0.104 ± 0.009,0.802 ± 0.030,0.623 ± 0.053,0.722 ± 0.024,,,https://docs.google.com/document/d/1pof60W0rzZzhGYBxdtclGiq3TdZwtPVqB7Os2xTD8Us/edit?tab=t.0,ADMET
ebl88,competition-prediction-WngQzdppo6KXQsAbjVFLn,b,0.570 ± 0.018,0.243 ± 0.009,0.117 ± 0.009,0.783 ± 0.029,0.599 ± 0.039,0.737 ± 0.022,"final submission, more to be disclosed in paper",,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing,ADMET
vchupakhin,competition-prediction-5X8yltgjLcHqkJsUMwqNy,c,0.512 ± 0.021,0.269 ± 0.010,0.140 ± 0.010,0.731 ± 0.033,0.523 ± 0.048,0.670 ± 0.026,SPLUS submission 2,,https://gist.github.com/vchupakhinspl/9a5583d6acb9c1d1613a38710fefbbf6,ADMET
longhung25,competition-prediction-wLj8bdpvbUQ1Ej2iedMJM,d,0.517 ± 0.020,0.276 ± 0.010,0.142 ± 0.011,0.783 ± 0.025,0.546 ± 0.049,0.688 ± 0.024,Intermediate submission,,https://docs.google.com/document/d/1WBi1vd4_w09FliNxQ01vYq9j8mbzwHYqLtW0k_fUWlU/edit?usp=sharing,ADMET
xiaolinpan,competition-prediction-salzAVayEdE5bdSjZjcWF,de,0.494 ± 0.022,0.277 ± 0.010,0.144 ± 0.010,0.723 ± 0.035,0.486 ± 0.047,0.640 ± 0.027,ASAPDiscovery ADMET prediction,,https://docs.google.com/document/d/1BzIMfdOfXJMHmuIfnlQUZRCnVfqNQKzgXZbnpJZBFwI/edit?usp=sharing,ADMET
weijunzhou,competition-prediction-MLf57NLNWQ4z2nAjSd6i1,e,0.496 ± 0.022,0.279 ± 0.010,0.143 ± 0.010,0.733 ± 0.034,0.493 ± 0.055,0.643 ± 0.027,ASAPDiscovery ADMET prediction,https://github.com/WeiJunZhou23/MolMCL.git,https://docs.google.com/document/d/1TPsdWO654-tL_Lz4_b_66xdGPeGNglil/edit?usp=drive_link&ouid=104987191201424644843&rtpof=true&sd=true,ADMET
ryan-deepmirror,competition-prediction-9mdXiMW946HVvNfSl9EKh,f,0.509 ± 0.020,0.291 ± 0.010,0.148 ± 0.011,0.735 ± 0.026,0.475 ± 0.056,0.670 ± 0.025,,https://github.com/ryan-deepmirror,https://docs.google.com/document/d/1zFNA_CKfGRGbdzFXX8dOhkLIOFBybe6pn3H7X8qd6nY/edit?usp=sharing,ADMET
rced,competition-prediction-TKBSHdBoFKwmBnjFZ2t9i,f,0.482 ± 0.022,0.292 ± 0.010,0.152 ± 0.010,0.743 ± 0.028,0.523 ± 0.039,0.643 ± 0.026,Just testing the Polaris API here!,https://github.com/cedenoruel/sub_antiviral25,https://github.com/cedenoruel/sub_antiviral25,ADMET
luispintoc,competition-prediction-late-M4uNdgGuUwwjdkxfSNxFN,g,0.462 ± 0.021,0.301 ± 0.010,0.154 ± 0.010,0.720 ± 0.030,0.481 ± 0.047,0.616 ± 0.027,Average of two different approaches,,https://docs.google.com/document/d/124EmRMeXIZlXGmYmErVVvb5DLWnU_A_dXgwH43TAvvk/edit?usp=sharing,ADMET
oscar-mendez-lucio,competition-prediction-ajpUtX7qgRCDweYWkd6af,h,0.462 ± 0.022,0.307 ± 0.010,0.177 ± 0.013,0.687 ± 0.034,0.423 ± 0.072,0.622 ± 0.027,"MolE model pre-trained with self-supervision using ZINC20, supervised on ChEMBL and phenomics",https://github.com/recursionpharma/mole_public,https://www.nature.com/articles/s41467-024-53751-y,ADMET
